EVCEO-EVVN,22-06-2012 00:03:20,21-06-2012 23:55:04,496,-1,1
EVCEO-EVVN,22-06-2012 00:03:31,21-06-2012 23:55:38,473,-1,1
EVCEO-EVVN,22-06-2012 00:04:31,21-06-2012 23:59:13,318,-1,1
EVCEO-EVVN,22-06-2012 00:04:43,21-06-2012 23:57:30,433,-1,1
EVCEO-EVVN,22-06-2012 00:04:49,21-06-2012 23:57:30,439,-1,1
EVCEO-EVVN,22-06-2012 00:04:50,21-06-2012 23:57:27,443,-1,-1
EVCEO-EVVN,22-06-2012 00:05:06,21-06-2012 23:57:58,428,-1,2
EVCEO-EVVN,22-06-2012 00:07:19,22-06-2012 00:00:39,400,-1,1
EVCEO-EVVN,22-06-2012 00:07:40,22-06-2012 00:00:23,437,-1,1
EVCEO-EVVN,22-06-2012 00:08:32,21-06-2012 23:59:50,522,-1,1
EVCEO-EVVN,22-06-2012 00:15:17,22-06-2012 00:09:18,359,-1,2
EVCEO-EVVN,22-06-2012 00:15:21,21-06-2012 23:54:05,1276,-1,1
EVCEO-EVVN,22-06-2012 00:15:22,22-06-2012 00:08:26,416,-1,2
EVCEO-EVVN,22-06-2012 00:15:35,22-06-2012 00:08:40,415,-1,1
EVCEO-EVVN,22-06-2012 00:16:27,22-06-2012 00:10:08,379,-1,1
EVCEO-EVVN,22-06-2012 00:16:29,22-06-2012 00:09:21,428,-1,1
EVCEO-EVVN,22-06-2012 00:16:34,22-06-2012 00:08:28,486,-1,1
EVCEO-EVVN,22-06-2012 00:16:41,22-06-2012 00:09:22,439,-1,1
EVCEO-EVVN,22-06-2012 00:16:56,22-06-2012 00:11:05,351,-1,2
EVCEO-EVVN,22-06-2012 00:17:48,22-06-2012 00:12:09,339,-1,1
EVCEO-EVVN,22-06-2012 00:18:08,22-06-2012 00:11:11,417,-1,1
EVCEO-EVVN,22-06-2012 00:18:35,22-06-2012 00:10:55,460,-1,1
EVCEO-EVVN,22-06-2012 00:19:06,22-06-2012 00:12:44,382,-1,1
EVCEO-EVVN,22-06-2012 00:19:45,22-06-2012 00:12:24,441,-1,2
EVCEO-EVVN,22-06-2012 00:20:29,22-06-2012 00:13:02,447,-1,1
EVCEO-EVVN,22-06-2012 00:21:43,22-06-2012 00:11:06,637,-1,-1
EVCEO-EVVN,22-06-2012 00:21:47,22-06-2012 00:16:06,341,-1,2
EVCEO-EVVN,22-06-2012 00:22:03,22-06-2012 00:14:33,450,-1,1
EVCEO-EVVN,22-06-2012 00:22:16,22-06-2012 00:13:13,543,-1,1
EVCEO-EVVN,22-06-2012 00:23:12,22-06-2012 00:17:53,319,-1,1
EVCEO-EVVN,22-06-2012 00:23:22,22-06-2012 00:16:14,428,-1,1
EVCEO-EVVN,22-06-2012 00:23:25,22-06-2012 00:16:55,390,-1,1
EVCEO-EVVN,22-06-2012 00:23:34,21-06-2012 23:56:07,1647,-1,1
EVCEO-EVVN,22-06-2012 00:23:39,22-06-2012 00:17:10,389,-1,1
EVCEO-EVVN,22-06-2012 00:24:29,22-06-2012 00:18:17,372,-1,2
EVCEO-EVVN,22-06-2012 00:24:29,22-06-2012 00:18:51,338,-1,2
EVCEO-EVVN,22-06-2012 00:24:46,22-06-2012 00:17:41,425,-1,1
EVCEO-EVVN,22-06-2012 00:27:13,22-06-2012 00:20:40,393,-1,2
EVCEO-EVVN,22-06-2012 00:27:55,21-06-2012 23:45:32,2543,-1,1
EVCEO-EVVN,22-06-2012 00:28:23,22-06-2012 00:22:28,355,-1,1
EVCEO-EVVN,22-06-2012 00:28:29,22-06-2012 00:21:46,403,-1,1
